emoji,variant,base,detail,outline,mane_base,mane_high,face_base,face_inner,ear_inner,nose,whisker_dot,eye,body_base,wing,beak,leaf_base,leaf_detail,flower,stem,body,window,wheel
1f1e6-1f1f1,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f1,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f1,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f2,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f4,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f6,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f6,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f6,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f6,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f6,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f7,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f7,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f7,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f7,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f7,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f8,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f8,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f8,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f8,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f8,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f9,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f9,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f9,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f9,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1f9,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fa,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fa,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fa,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fa,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fa,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fc,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fc,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fc,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fc,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fc,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fd,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fd,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fd,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fd,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1fd,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ff,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ff,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ff,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ff,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6-1f1ff,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e6,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e6,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e6,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e6,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e6,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e6,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e6,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e6,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e6,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e6,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e7,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e7,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e7,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e7,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e7,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e9,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e9,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e9,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e9,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1e9,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ea,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ea,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ea,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ea,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ea,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1eb,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
